ng,Ndonga,Latn,OshiNdonga,0,0
nl,Dutch,Latn,Nederlands,0,0
nmg,Kwasio,Latn,ngumba,0,0
nn,NorwegianNynorsk,Latn,nynorsk,0,0
nr,SouthNdebele,Latn,isiNdebele,0,0
nso,NorthernSotho,Latn,SesothosaLeboa,0,0
nus,Nuer,Latn,ThokNath,0,0
nv,Navajo,Latn,Dinébizaad,0,0
ny,Chewa,Latn,chiCheŵa,0,0
nyn,Nyankole,Latn,Runyankore,0,0
oc,Occitan,Latn,occitan,0,0
oj,Ojibwa,Cans,ᐊᓂᔑᓈᐯᒧᐎᓐ,0,0
om,Oromo,Latn,Oromoo,0,0
or,Oriya,Orya,ଓଡ଼ିଆ,0,0
os,Ossetic,Cyrl,Ирон,0,0
pa,Punjabi(Gurmukhi),Guru,ਪੰਜਾਬੀ,0,0
pa-Arab,Punjabi(Arabic),Arab,پنجاب,0,0
pi,Pahari-Potwari,Latn,Pāli,0,0
pl,Polish,Latn,polski,0,0
pra,Prakrit,Deva,प्राकृत,0,0
ps,Pashto,Arab,پښتو,0,0
pt,Portuguese,Latn,português,0,0
pt-BR,BrazilianPortuguese,Latn,portuguêsdoBrasil,0,0
qu,Quechua,Latn,RunaSimi,0,0
raj,Rajasthani,Deva,राजस्थानी,0,0
rm,Romansh,Latn,rumantsch,0,0
rn,Rundi,Latn,Ikirundi,0,0
ro,Romanian,Latn,română,0,0
rof,Rombo,Latn,Kihorombo,0,0
ru,Russian,Cyrl,русский,0,0
rw,Kinyarwanda,Latn,Kinyarwanda,0,0
rwk,Rwa,Latn,Kiruwa,0,0
sa,Sanskrit,Deva,संस्कृतम्,0,0
sah,Yakut,Cyrl,сахатыла,0,0
saq,Samburu,Latn,Kisampur,0,0
sbp,Sileibi,Latn,Ishisangu,0,0
sc,Sardinian,Latn,sardu,0,0
sd,Sindhi,Arab,سنڌي,0,0
se,NorthernSami,Latn,davvisámegiella,0,0
seh,Sena,Latn,sena,0,0
ses,Songhay,Latn,Koyraborosenni,0,0
sg,Sango,Latn,Sängö,0,0
sh,Serbo-Croatian,Latn,srpskohrvatski,0,0
shi,Tachelhit(Latin),Latn,Tashelhit,0,0
shi-Tfn,Tachelhit(Tifinagh),Tfng,ⵜⴰⵎⴰⵣⵉⵖⵜ,0,0
si,Sinhala,Sinh,සිංහල,0,0
sid,Sidamo,Latn,SidaamuAfo,0,0
sk,Slovak,Latn,slovenčina,0,0
sl,Slovene,Latn,slovenščina,0,0
sm,Samoan,Latn,Gaganafa’aSāmoa,0,0
sn,Shona,Latn,chiShona,0,0
so,Somali,Latn,Soomaali,0,0
sq,Albanian,Latn,shqip,0,0
sr,Serbian(Cyrillic),Cyrl,Српски,0,0
sr-Latn,Serbian(Latin),Latn,Srpski,0,0
ss,Swati,Latn,Siswati,0,0
ssy,Saho,Latn,Saho,0,0
st,SouthernSotho,Latn,Sesotho,0,0
su,Sundanese,Latn,BasaSunda,0,0
sv,Swedish,Latn,svenska,0,0
sw,Swahili,Latn,Kiswahili,0,0
swc,CongoSwahili,Latn,KiswahiliyaKongo,0,0
ta,Tamil,Taml,தமிழ்,0,0
te,Telugu,Telu,తెలుగు,0,0
teo,Teso,Latn,Kiteso,0,0
tg,Tajik(Cyrillic),Cyrl,тоҷикӣ,0,0
tg-Arab,Tajik(Arabic),Arab,تاجیکی,0,0
tg-Latn,Tajik(Latin),Latn,tojikī,0,0
th,Thai,Thai,ไทย,0,0
ti,Tigrinya,Ethi,ትግርኛ,0,0
tig,Tigre,Ethi,ትግረ,0,0
tk,Turkmen,Cyrl,түркменче,0,0
tl,Tagalog,Latn,Tagalog,0,0
tn,Tswana,Latn,Setswana,0,0
to,Tongan,Latn,leafakatonga,0,0
tr,Turkish,Latn,Türkçe,0,0
trv,Taroko,Latn,Seediq,0,0
ts,Tsonga,Latn,Xitsonga,0,0
tt,Tatar,Cyrl,татартеле,0,0
tw,Twi,Latn,Twi,0,0
twq,Tasawaq,Latn,Tasawaqsenni,0,0
ty,Tahitian,Latn,ReoMāohi,0,0
tzm,CentralAtlasTamazight(Tifinagh,Tfng,ⵜⴰⵎⴰⵣⵉⵖⵜ,0,0
tzm-Lat,CentralAtlasTamazight(Latin),Latn,Tamazight,0,0
ug,Uyghur,Arab,ئۇيغۇرچە,0,0
uk,Ukrainian,Cyrl,українська,0,0
ur,Urdu,Arab,اردو,0,0
uz,Uzbek(Cyrillic),Cyrl,Ўзбек,0,0
uz-Arab,Uzbek(Arabic),Arab,اۉزبېک,0,0
uz-Latn,Uzbek(Latin),Latn,oʼzbekcha,0,0
vai,Vai(Vai),Vaii,ꕙꔤ,0,0
vai-Lat,Vai(Latin),Latn,Viyamíĩ,0,0
ve,Venda,Latn,Tshivenḓa,0,0
vi,Vietnamese,Latn,TiếngViệt,0,0
vo,Volapük,Latn,Volapük,0,0
wa,Walloon,Latn,Walon,0,0
wae,Walser,Latn,Walser,0,0
wal,Wolaytta,Ethi,ወላይታቱ,0,0
wen,Sorbian,Latn,Wendic,0,0
wo,Wolof,Latn,Wolof,0,0
xh,Xhosa,Latn,isiXhosa,0,0
xog,Soga,Latn,Olusoga,0,0
yav,Yangben,Latn,nuasue,0,0
yi,Yiddish,Hebr,ייִדיש,0,0
yo,Yoruba,Latn,ÈdèYorùbá,0,0
yue,Yue,Hant,廣州話,0,0
zh,Chinese(Simplified),Hans,简体中文,0,0
zh-Hant,Chinese(Traditional),Hant,繁體中文,0,0
zu,Zulu,Latn,isiZulu,0,0
